2021-03-03 23:46:31.657 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:46:39.767 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:47:30.604 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:47:30.653 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:50:24.720 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:50:36.299 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:51:12.213 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:51:31.184 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:51:59.948 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:52:41.216 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:53:41.147 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:53:41.181 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:53:58.390 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:53:58.456 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:54:08.370 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:54:08.411 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:55:23.783 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:55:23.832 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:55:42.425 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:55:42.464 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:58:07.061 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:58:07.118 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:58:39.253 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:58:39.317 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:59:28.956 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-03 23:59:28.973 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-03 23:59:28.977 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
2021-03-03 23:59:28.979 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-03 23:59:28.981 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:00:05.397 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:00:05.404 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:00:05.407 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
2021-03-04 00:00:05.409 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:00:05.411 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-04 00:05:15.011 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:05:15.029 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [findSentencesWithLongestWord] -- Sentences were found
2021-03-04 00:05:15.039 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
